"Unique Barcode",Description,Category,Brand,Supplier,"System Warehouse","Scanned Warehouse","System Location","Scanned Location","Audit Status",Outbounded,"Unit Cost","Scanned Date"
17114446-26,"Laptop Charger Dell 19V 1.58A Yellow Pin","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER",,"SLOW MOVING 1",,MISSING,no,154.89,
36354648-8,"Laptop Charger Dell 19V 1.58A Yellow Pin","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER",,"SLOW MOVING 1",,MISSING,no,154.89,
51844432-24,"Laptop Charger Dell 19V 1.58A Yellow Pin","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER",,"SLOW MOVING 1",,MISSING,no,154.89,
43757361-2,"Laptop Charger Dell 19V 1.58A Yellow Pin","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER",,"SLOW MOVING 1",,MISSING,no,154.89,
51844432-4,"Laptop Charger Dell 19V 1.58A Yellow Pin","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER",,"SLOW MOVING 1",,MISSING,no,154.89,
51844432-23,"Laptop Charger Dell 19V 1.58A Yellow Pin","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER",,"SLOW MOVING 1",,MISSING,no,154.89,
35468488-28,"Cellphone Battery OPPO A37 (BLP615)","Cellphone Battery",oppo,Imports,"LPO HQ-BUFFER",,"NW CPB-4-3",,MISSING,no,150.00,
78990929-3,"Led Screen 11.6 40 Pins Slim Up and Down HD (Lower Bracket)","Led Screen","No Brand","All Star","LPO HQ-BUFFER",,"NW LED 2",,MISSING,no,1088.32,
40185532-18,"Cellphone Battery Asus Zenfone 4 Max (C11P1612)","Cellphone Battery",ASUS,Imports,"LPO HQ-BUFFER",,"NW CPB3-1",,MISSING,no,282.54,
52779785-2,"Led Screen 13.3 30 Pins Slim Side Bracket HD","Led Screen","No Brand",Imports,"LPO HQ-BUFFER",,"NW LED 2",,MISSING,no,1698.89,
36582549-18,"Laptop Charger Dell 19.5V 2.31A Circle Pin","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER",,"NW BR5-L3-1",,MISSING,no,135.00,
L16M3P24-3,"Laptop Battery Lenovo L16M3P24","Laptop Battery",Lenovo,Mars,"LPO HQ-BUFFER",,"NW BOX 3",,MISSING,no,1700.00,
74182523-7,"Laptop Charger Dell 19.5V 4.62A Circle Pin Original","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER",,"FOR SKU",,MISSING,no,607.67,
84315941-4,"Laptop Battery HP RR04","Laptop Battery",HP,Kina,"LPO HQ-BUFFER",,"SLOW MOVING 1",,MISSING,no,1305.59,
DE67CP-1,"Laptop Charger Dell 19.5V 6.7A Circle Pin","Laptop Charger",Dell,Syy,"LPO HQ-BUFFER",,"FOR SKU",,MISSING,no,1200.00,
23113391-5,"Cellphone Battery Asus Zenfone Max 3 (C11P1611)","Cellphone Battery",ASUS,Imports,"LPO HQ-BUFFER",,"NW CPB3-1",,MISSING,no,186.51,
48185396-30,"Laptop Charger HP Printer 32V","Laptop Charger",HP,Liz,"LPO HQ-BUFFER",,"FOR SKU",,MISSING,no,186.97,
9295097-4,"Cellphone Battery Samsung Note 8 (EB-BN950ABE)","Cellphone Battery",Samsung,"Bea Ke","LPO HQ-BUFFER",,"FOR SKU",,MISSING,no,300.00,
23113391-1,"Cellphone Battery Asus Zenfone Max 3 (C11P1611)","Cellphone Battery",ASUS,Imports,"LPO HQ-BUFFER",,"NW CPB3-1",,MISSING,no,186.51,
